,datetime,BuyerPrice,SellerPrice
0,2023-03-03 03:52:42,20,20
1,2023-03-03 03:54:14,20,20
2,2023-03-03 03:55:32,20,20
3,2023-03-03 03:56:45,20,20
4,2023-03-03 03:58:20,20,20
5,2023-03-03 03:59:21,20,20
6,2023-03-03 04:00:35,20,20
7,2023-03-03 04:02:18,20,20
8,2023-03-03 04:03:35,20,20
9,2023-03-03 04:05:01,20,20
10,2023-03-03 04:07:05,20,20
11,2023-03-03 04:08:19,20,20
12,2023-03-03 04:09:56,20,20
13,2023-03-03 04:11:06,20,20
14,2023-03-03 04:12:21,20,20
15,2023-03-03 04:13:43,20,20
16,2023-03-03 04:15:30,20,20
17,2023-03-03 04:16:46,20,20
18,2023-03-03 04:17:58,20,20
19,2023-03-03 04:19:38,20,20
20,2023-03-03 04:21:23,20,20
21,2023-03-03 04:22:46,19,20
22,2023-03-03 04:26:49,19,20
23,2023-03-03 04:28:05,19,20
24,2023-03-03 04:30:21,19,19
25,2023-03-03 04:32:00,19,19
26,2023-03-03 04:33:26,19,19
27,2023-03-03 04:34:46,19,20
28,2023-03-03 04:35:54,19,20
29,2023-03-03 04:37:24,19,20
30,2023-03-03 04:38:26,20,20
31,2023-03-03 04:39:42,20,20
32,2023-03-03 04:41:07,20,20
33,2023-03-03 04:42:40,20,20
34,2023-03-03 04:43:59,20,20
35,2023-03-03 04:45:08,21,20
36,2023-03-03 04:46:37,21,20
37,2023-03-03 04:47:55,21,20
38,2023-03-03 04:49:14,21,20
39,2023-03-03 04:50:24,21,20
40,2023-03-03 04:51:47,20,20
41,2023-03-03 04:52:55,20,20
42,2023-03-03 04:54:04,20,20
43,2023-03-03 04:55:25,21,20
44,2023-03-03 04:56:44,21,20
45,2023-03-03 04:57:46,21,20
46,2023-03-03 04:58:48,21,20
47,2023-03-03 05:00:00,21,20
48,2023-03-03 05:01:53,21,20
49,2023-03-03 05:03:39,21,20
50,2023-03-03 05:05:36,21,20
51,2023-03-03 05:07:34,21,20
52,2023-03-03 05:09:22,21,20
53,2023-03-03 05:10:33,21,20
54,2023-03-03 05:11:49,21,20
55,2023-03-03 05:13:29,21,20
56,2023-03-03 05:14:38,21,20
57,2023-03-03 05:15:54,21,20
58,2023-03-03 05:17:07,21,20
59,2023-03-03 05:18:43,21,20
60,2023-03-03 05:20:18,21,20
61,2023-03-03 05:21:56,21,20
62,2023-03-03 05:23:29,21,20
63,2023-03-03 05:24:59,20,20
64,2023-03-03 05:26:25,20,20
65,2023-03-03 05:28:04,20,24
66,2023-03-03 05:29:21,20,24
67,2023-03-03 05:31:16,20,24
68,2023-03-03 05:32:45,20,24
69,2023-03-03 05:34:30,20,24
70,2023-03-03 05:35:56,20,24
71,2023-03-03 05:38:07,22,24
72,2023-03-03 05:39:36,22,24
73,2023-03-03 05:41:50,22,24
74,2023-03-03 05:43:14,20,24
75,2023-03-03 05:44:25,22,24
76,2023-03-03 05:45:43,22,24
77,2023-03-03 05:47:20,22,24
78,2023-03-03 05:48:37,22,24
79,2023-03-03 05:49:38,20,24
80,2023-03-03 05:51:04,20,24
81,2023-03-03 05:52:42,20,24
82,2023-03-03 05:54:25,20,24
83,2023-03-03 05:56:07,20,24
84,2023-03-03 05:57:36,20,24
85,2023-03-03 05:59:23,20,24
86,2023-03-03 06:02:26,20,24
87,2023-03-03 06:05:07,20,24
88,2023-03-03 06:07:52,22,24
89,2023-03-03 06:10:00,22,24
90,2023-03-03 06:12:06,22,24
91,2023-03-03 06:13:44,22,24
92,2023-03-03 06:15:25,20,23
93,2023-03-03 06:16:56,20,23
94,2023-03-03 06:18:18,20,23
95,2023-03-03 06:19:49,20,23
96,2023-03-03 06:21:14,20,23
97,2023-03-03 06:23:01,20,23
98,2023-03-03 06:24:57,20,23
99,2023-03-03 06:26:41,20,23
100,2023-03-03 06:28:24,20,23
101,2023-03-03 06:30:34,20,23
102,2023-03-03 06:32:27,20,23
103,2023-03-03 06:34:12,20,23
104,2023-03-03 06:36:07,20,23
105,2023-03-03 06:37:54,20,23
106,2023-03-03 06:40:02,20,23
107,2023-03-03 06:41:56,20,23
108,2023-03-03 06:43:40,20,23
109,2023-03-03 06:45:03,20,23
110,2023-03-03 06:47:04,20,23
111,2023-03-03 06:48:27,20,23
112,2023-03-03 06:49:50,20,24
113,2023-03-03 06:51:24,20,20
114,2023-03-03 06:52:47,20,20
115,2023-03-03 06:54:21,20,20
116,2023-03-03 06:55:51,20,24
117,2023-03-03 06:57:18,20,24
118,2023-03-03 06:58:36,20,23
119,2023-03-03 07:00:02,20,24
120,2023-03-03 07:03:29,20,24
121,2023-03-03 07:06:13,20,24
122,2023-03-03 07:08:32,20,23
123,2023-03-03 07:10:12,20,20
124,2023-03-03 07:11:38,20,20
125,2023-03-03 07:13:10,20,20
126,2023-03-03 07:14:47,20,20
127,2023-03-03 07:16:34,20,20
128,2023-03-03 07:18:09,20,20
129,2023-03-03 07:19:29,20,20
130,2023-03-03 07:21:04,20,20
131,2023-03-03 07:22:28,20,23
132,2023-03-03 07:24:13,20,23
133,2023-03-03 07:25:39,20,23
134,2023-03-03 07:27:20,20,23
135,2023-03-03 07:28:49,20,23
